Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,Parent Name,Parent Id,Parent Class
400000023214369348,0a1e3c33-2437-48a7-94bb-0de750f4d280,Jean Fournier 'Origines Blanc' 19,400000023214369349,,0.00,9/6/2022,Yes,No,White,400000000186067255,MenuGroup
400000003973155759,0a444c7e-a6ab-46ef-a3aa-80b5b45fa618,Willakenzie Pinot Gris 17,400000003973155760,,0.00,2/3/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000001564316188,0a60f4e0-93ce-402e-9ed8-582d9004ce18,El Gato Sauvignon Blanc 18,400000001564316189,,0.00,6/21/2019,Yes,No,White,400000000271238759,MenuGroup
400000031356604471,0ab6bb25-8fb9-4a35-a070-f005a9eae40e,Chateau Marie Plaisance Bergerac Rouge 19,400000031356604472,,0.00,6/15/2023,No,No,Red,400000000271238761,MenuGroup
400000004015839318,0ac04630-816b-437d-a847-33a75370d527,Lambert Seyssel Brut NV,400000004015839319,,0.00,2/7/2020,Yes,No,Bubbles,400000000186067099,MenuGroup
400000000291858798,0aca9c74-f350-457b-963a-45a9db34c447,Caymus 1L Cab 15,400000000291858799,,0.00,1/9/2019,Yes,No,Red A-K,400000000186067251,MenuGroup
400000000192316532,0aefa7d0-4b32-487a-ac2d-01c42714e813,*Produttori Barbaresco Rabaja 11,400000000192316533,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
400000003629953607,0af42735-6026-41b7-83f2-5be654ee7d66,Delta Chenin Blanc 18,400000003629953608,,0.00,1/6/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000000561453181,0b2ad471-7f01-4cd6-a181-b4fed3624438,Chateau Cotes Bellevue,400000000561453182,,0.00,2/28/2019,Yes,No,Red A-K,400000000186067251,MenuGroup
400000000186071087,0b4db501-9b4e-4872-bc1f-783638bcf282,J Lassalle Cachet Or Brut NV,400000000186071088,,0.00,12/11/2018,Yes,No,Bubbles,400000000186067099,MenuGroup
400000000390487894,0b5647a8-9b29-49d5-b910-2b1503d5488a,Librandi Ciro Bianco 16,400000000390487895,,0.00,1/30/2019,Yes,No,WINE CLUB,400000000287676817,Menu
400000000970323347,0b606ae9-fa22-4e62-9ff3-c7ec7ba7e7c0,Quinta de Saes Branco 12,400000000970323348,,0.00,4/19/2019,Yes,No,White,400000000186067255,MenuGroup
400000008501119829,0b7d67ba-4800-418c-8b0f-3075af0a0e11,UTENSILS,400000008501119830,,0.00,12/19/2020,Yes,No,FOOD,400000000124405156,Menu
400000000192058936,0b817143-fc27-4e20-ba87-71592a90d5c3,Borgo Paglianetto Terravignata Rosso 15,400000000192058937,,0.00,12/13/2018,Yes,No,White,400000000186067255,MenuGroup
400000018297029287,0b9a4b44-fab8-4889-93e3-bb093252ba34,Gimonnet Blanc de Blancs NV,400000018297029288,,0.00,3/12/2022,Yes,No,Sparkling,400000000271238755,MenuGroup
400000003597744417,0ba6db5e-e6e5-4c75-8349-78f395186ade,Bianco Porticello 17,400000003597744418,,0.00,1/3/2020,Yes,No,TdC,400000003597733212,MenuGroup
400000005528432809,0bbb6a63-e34a-4be3-a49f-354caa4978bf,Il Colle Rose Extra Dry NV,400000005528432810,,0.00,6/22/2020,Yes,No,Sparkling,400000000271238755,MenuGroup
400000002412911705,0bd89e33-13e8-4da1-bc9c-acba2584724c,I Brand Mourvedre  17,400000002412911706,,0.00,9/11/2019,Yes,No,Red A-K,400000000186067251,MenuGroup
400000000388305247,0c1de150-eec1-43b9-b7b6-e68f57fb4587,Flights,400000000388305248,,0.00,1/30/2019,Yes,No,BTG WINE,400000000271237784,Menu
400000004794192443,0c244db2-7ce7-4c8c-860c-3864a1c7980d,El Gato Cabernet Sauvignon 17,400000004794192444,,0.00,4/15/2020,Yes,No,Red A-K,400000000186067251,MenuGroup
400000002577695853,0c4a308e-9a82-4b14-880e-e5b93c63cadf,Tessier Femme Fatale 18,400000002577695854,,0.00,9/27/2019,Yes,No,Rose,400000000271238757,MenuGroup
400000003002763801,0c4dd99f-3194-4271-866c-1c33707a78aa,Royal Nonesuch Farm Red 17,400000003002763802,,0.00,11/8/2019,Yes,No,Red Q-Z,400000000268246652,MenuGroup
400000001920709636,0c68cf06-baa4-4f6f-ac30-076b96adecc3,Chateau St Pierre Rose 17,400000001920709637,,0.00,7/26/2019,Yes,No,Rose,400000000271238757,MenuGroup
400000003927842274,0c768ef5-7983-4d06-9780-8a8c6a46f2f2,Zorzettig Friulano 17,400000003927842275,,0.00,1/31/2020,Yes,No,Zorzettig,400000003925157590,MenuGroup
400000003990942772,0c778bc9-6510-4631-947f-1848464c8da5,Due Terre Grillo 18,400000003990942773,,0.00,2/5/2020,No,No,White,400000000186067255,MenuGroup
400000001839451643,0c83a64d-4cb9-48b4-9f79-a25294537f2a,Villa Creek Aglianico 11,400000001839451644,,0.00,7/18/2019,Yes,No,Red Q-Z,400000000268246652,MenuGroup
400000023011841941,0c88ff55-e34a-4849-8b0a-e3856b7ffabf,Domaine de Couron Rose,400000023011841942,,0.00,8/30/2022,Yes,No,Rose,400000000271238757,MenuGroup
400000005242056977,0c8d0472-8362-46c3-ab31-cfee61d08c8d,Ankara Cab Sauv,400000005242056978,,0.00,6/2/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000039339962561,0c8fa93f-16b8-42dd-8db9-0b0952ebb998,Woodland Chardonnay 21,400000039339962562,,0.00,3/7/2024,No,No,White,400000000186067255,MenuGroup
400000000192316657,0cb5a8d1-9591-432e-affa-814bc9c30e33,*Viberti Cannubi Barolo Reserva 10,400000000192316658,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
400000001214449225,0cb878f7-2512-46ef-961c-9add84308f09,EVENTS,400000001214449226,,0.00,5/16/2019,No,No,FOOD,400000000124405156,Menu
400000003444964609,0ccf4049-a31b-4ec6-8400-b63ecf07cba1,Joyce Albarino 18,400000003444964610,,0.00,12/20/2019,Yes,No,White,400000000186067255,MenuGroup
400000000192316587,0ce31290-ab08-460f-8a94-b822a413bb3c,*Santadi Terre Brune 11,400000000192316588,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
400000008552363714,0d36378d-6ee4-42b5-a4b5-5433ef90d44d,Doren Cab sauv 17,400000008552363715,,0.00,12/23/2020,Yes,No,Red A-K,400000000186067251,MenuGroup
